,ID,ra,dec
1372,J150908.27+090227.5,227.28447,9.0409851
1373,J152311.50+083308.7,230.79793,8.5524168
1374,J152440.97+082526.5,231.1707,8.424037
1375,J140339.06+112241.7,210.91275,11.378247
1376,J135650.33+121849.6,209.20969,12.313785
1377,J142046.39+052932.9,215.19331,5.4924603
1378,J132751.41+064249.6,201.96422,6.7137847
1379,J141959.07+060305.7,214.99612,6.0515885
1380,J135406.83+064226.4,208.52847,6.7073336
1381,J143651.72+060824.1,219.21552,6.140029
1382,J143339.77+062919.8,218.4157,6.4888287
1383,J143320.26+064107.9,218.33443,6.6855412
1384,J140556.01+072551.3,211.48337,7.4309201
1385,J141337.79+073936.0,213.40747,7.6600122
1387,J132149.44+085840.2,200.45601,8.9778376
1388,J140658.45+081421.4,211.74355,8.2392836
1389,J141734.78+082021.9,214.39491,8.3394203
1390,J141541.73+085503.3,213.92386,8.917593
1391,J150320.63+073627.8,225.83594,7.6077261
1392,J150922.16+073652.3,227.34235,7.6145234
1393,J151252.04+073032.4,228.21683,7.509006
1394,J134522.83+094633.6,206.34514,9.7760019
1395,J143635.13+084501.5,219.14636,8.7504234
1397,J151154.91+075424.4,227.97879,7.906776
1398,J154237.50+065124.8,235.65625,6.8568797
1399,J131544.19+103728.6,198.93414,10.624601
1400,J132650.01+103334.8,201.70836,10.55966
1403,J140750.74+380622.7,211.96143,38.106293
1404,J134627.77+394042.0,206.61572,39.678337
1405,J143836.10+361615.7,219.65041,36.271019
1407,J155756.14+271325.0,239.4839,27.2236
1408,J155840.00+265839.6,239.66667,26.977661
1409,J162451.27+225654.7,246.21364,22.94854
1412,J160310.52+265718.9,240.79384,26.95525
1414,J160643.16+261625.1,241.67984,26.273651
1416,J164212.88+202348.2,250.55367,20.396719
1417,J140445.26+393354.5,211.18857,39.565125
1418,J150430.23+345037.8,226.12595,34.843826
1419,J150804.90+342313.8,227.02043,34.387173
1420,J152330.48+323813.1,230.87701,32.636986
1421,J155009.50+291106.2,237.5396,29.185053
1422,J141631.80+393520.6,214.13251,39.58905
1425,J155824.47+265601.6,239.60197,26.933783
1427,J153829.59+300132.8,234.62328,30.025768
1428,J155850.46+272324.2,239.71027,27.390068
1429,J155839.56+271351.6,239.66484,27.231005
1430,J161229.75+251603.0,243.12396,25.267508
1431,J153320.93+310931.7,233.33719,31.158794
1432,J155420.93+281832.9,238.58719,28.309143
