ID,ra,dec
J104617.24+123802.9,161.57184,12.634134
J142248.66+475106.0,215.70273,47.851677
J143439.03+475805.9,218.66261,47.968319
J140908.03+384021.3,212.28346,38.672581
J123642.98+433838.5,189.17908,43.644016
J084741.67+255317.6,131.92363,25.888235
J162538.15+210054.1,246.40895,21.015041
J121829.01+402713.7,184.62088,40.4538
J141341.92+081318.2,213.42468,8.2217293
J082901.08+154338.3,127.25452,15.727304
J080945.54+255249.2,122.43977,25.880335
J100103.34+412219.1,150.26393,41.371975
J113821.14+472614.5,174.58809,47.437355
J141950.33+441642.8,214.95972,44.278561
J105359.04-002833.4,163.49602,-0.47594246
J143046.02+001451.6,217.69176,0.2476761
J110355.55+003755.0,165.98146,0.63194823
J122338.84+004332.5,185.91183,0.72570002
